,index,Extension,MIME Type
0,0,.aac,audio/aac
1,1,.abw,application/x-abiword
2,2,.arc,application/x-freearc
3,3,.avi,video/x-msvideo
4,4,.azw,application/vnd.amazon.ebook
5,5,.bin,application/octet-stream
6,6,.bmp,image/bmp
7,7,.bz,application/x-bzip
8,8,.bz2,application/x-bzip2
9,9,.cda,application/x-cdf
10,10,.csh,application/x-csh
11,11,.css,text/css
12,12,.csv,text/csv
13,13,.doc,application/msword
14,14,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
15,15,.eot,application/vnd.ms-fontobject
16,16,.epub,application/epub+zip
17,17,.gz,application/gzip
18,18,.gif,image/gif
19,19,.html,text/html
20,20,.ico,image/vnd.microsoft.icon
21,21,.ics,text/calendar
22,22,.jar,application/java-archive
23,23,.jpg,image/jpeg
24,24,.js,text/javascript
25,25,.json,application/json
26,26,.jsonld,application/ld+json
27,27,.midi,audio/midi
28,28,.mjs,text/javascript
29,29,.mp3,audio/mpeg
30,30,.mp4,video/mp4
31,31,.mpeg,video/mpeg
32,32,.mpkg,application/vnd.apple.installer+xml
33,33,.odp,application/vnd.oasis.opendocument.presentation
34,34,.ods,application/vnd.oasis.opendocument.spreadsheet
35,35,.odt,application/vnd.oasis.opendocument.text
36,36,.oga,audio/ogg
37,37,.ogv,video/ogg
38,38,.ogx,application/ogg
39,39,.opus,audio/opus
40,40,.otf,font/otf
41,41,.png,image/png
42,42,.pdf,application/pdf
43,43,.php,application/x-httpd-php
44,44,.ppt,application/vnd.ms-powerpoint
45,45,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
46,46,.rar,application/vnd.rar
47,47,.rtf,application/rtf
48,48,.sh,application/x-sh
49,49,.svg,image/svg+xml
50,50,.swf,application/x-shockwave-flash
51,51,.tar,application/x-tar
52,52,.tiff,image/tiff
53,53,.ts,video/mp2t
54,54,.ttf,font/ttf
55,55,.txt,text/plain
56,56,.vsd,application/vnd.visio
57,57,.wav,audio/wav
58,58,.weba,audio/webm
59,59,.webm,video/webm
60,60,.webp,image/webp
61,61,.woff,font/woff
62,62,.woff2,font/woff2
63,63,.xhtml,application/xhtml+xml
64,64,.xls,application/vnd.ms-excel
65,65,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
66,66,.xml,application/xml
67,67,.xul,application/vnd.mozilla.xul+xml
68,68,.zip,application/zip
69,69,.3gp,video/3gpp
70,70,.3g2,video/3gpp2
71,71,.7z,application/x-7z-compressed
72,72,.midi,audio/x-midi
73,73,.xml,text/xml
74,74,.3gp,audio/3gpp
75,75,.3g2,audio/3gpp2
